Age Group,Gender,Nationality,Employment Status,Monthly Income,Hotel Stay Frequency,Stay Duration,Purpose of Travel,Preferred Room Type,Booking Channel,Services Used,Spa Rating,Dining Rating,Room Service Rating,Cleanliness Rating,Preferred Bundles,Service Time,In Loyalty Program,Loyalty Tier,Reward Redemption Frequency,Overall Experience Rating,Would Recommend,Comfort Spend Range,Willing to Try Offers,Issues Faced
36–50,Male,Honduras,Self-Employed,51K–75K,3–5,3–5,Business,Standard,Walk-in,"Spa, Restaurant",2,3,4,3,"Wellness Package, Airport Pickup + Late Checkout",Afternoon,No,None,Sometimes,4,Definitely Yes,>₹12000,No,High Prices
36–50,Female,American Samoa,Employed,25K–50K,1–2 times,6–10,Leisure,Standard,OTA,"Pool, Restaurant, Airport Pickup, Spa",4,1,4,3,"Spa + Dinner, Gym + Breakfast",Afternoon,Yes,Gold,Rarely,3,Definitely Yes,₹2000–₹5000,No,Limited Food Options
36–50,Male,Bouvet Island (Bouvetoya),Retired,51K–75K,3–5,1–2 days,Leisure,Budget,OTA,"Room Service, Gym",5,5,2,5,"Spa + Dinner, Wellness Package",Evening,Yes,Gold,Sometimes,4,Probably No,₹2000–₹5000,No,"Lack of Cleanliness, Limited Food Options"
26–35,Female,Mongolia,Unemployed,25K–50K,3–5,3–5,Leisure,Standard,Agent,"Airport Pickup, Restaurant, Gym",3,4,4,3,"Gym + Breakfast, Airport Pickup + Late Checkout",Late Night,No,None,Rarely,3,Definitely Yes,₹5001–₹8000,No,Limited Food Options
36–50,Male,Papua New Guinea,Employed,>1L,3–5,6–10,Business,Standard,Agent,"Gym, Airport Pickup, Pool, Spa",3,4,2,4,"Gym + Breakfast, Wellness Package",Evening,Yes,Gold,Sometimes,2,Definitely Yes,₹2000–₹5000,No,"Delayed Check-in, High Prices, Limited Wellness Services"
36–50,Male,Swaziland,Employed,51K–75K,1–2 times,3–5,Business,Standard,Hotel Website,"Airport Pickup, Spa, Room Service, Pool",2,3,3,4,Spa + Dinner,Evening,Yes,Gold,Sometimes,2,Probably No,₹5001–₹8000,No,"Limited Wellness Services, Delayed Check-in, Lack of Cleanliness"
51–65,Male,Indonesia,Unemployed,51K–75K,6–10,>10,Leisure,Deluxe,Hotel Website,Gym,3,4,3,3,"Wellness Package, Airport Pickup + Late Checkout",Evening,Yes,Basic,Rarely,3,Not Sure,₹2000–₹5000,No,Limited Wellness Services
18–25,Male,Tunisia,Employed,25K–50K,1–2 times,1–2 days,Other,Standard,OTA,"Pool, Spa, Gym, Restaurant",3,3,4,4,"Spa + Dinner, Wellness Package",Evening,No,None,Sometimes,4,Definitely Yes,₹5001–₹8000,Yes,"Limited Wellness Services, Limited Food Options"
26–35,Female,Albania,Retired,<25K,3–5,3–5,Leisure,Suite,Hotel Website,"Gym, Spa, Room Service",5,4,4,4,"Spa + Dinner, Airport Pickup + Late Checkout",Morning,No,None,Rarely,4,Definitely Yes,>₹12000,Yes,"Lack of Cleanliness, Poor Staff Behavior, High Prices"
51–65,Male,Belize,Employed,<25K,6–10,3–5,Leisure,Standard,OTA,"Room Service, Pool, Restaurant, Spa",4,2,5,5,Gym + Breakfast,Morning,Yes,Platinum,Frequently,3,Probably Yes,₹2000–₹5000,Yes,"Limited Wellness Services, Lack of Cleanliness, High Prices"
51–65,Male,Martinique,Employed,51K–75K,3–5,>10,Leisure,Deluxe,OTA,"Airport Pickup, Spa",4,4,3,3,"Gym + Breakfast, Airport Pickup + Late Checkout",Evening,Yes,Basic,Frequently,4,Not Sure,>₹12000,Yes,"Delayed Check-in, High Prices, Limited Wellness Services"
26–35,Male,Sweden,Employed,<25K,3–5,1–2 days,Leisure,Budget,Agent,"Restaurant, Airport Pickup, Room Service, Spa",3,4,4,4,"Spa + Dinner, Wellness Package",Afternoon,No,None,Rarely,4,Definitely Yes,₹2000–₹5000,Yes,
36–50,Male,Iceland,Employed,51K–75K,6–10,6–10,Business,Standard,OTA,"Airport Pickup, Restaurant",3,3,4,4,"Wellness Package, Airport Pickup + Late Checkout",Evening,Yes,Basic,Frequently,3,Definitely Yes,₹2000–₹5000,No,
26–35,Male,Guam,Self-Employed,76K–1L,3–5,3–5,Leisure,Standard,OTA,Spa,5,4,2,4,Wellness Package,Afternoon,No,None,Sometimes,3,Probably Yes,₹5001–₹8000,Yes,"Delayed Check-in, Lack of Cleanliness, Limited Wellness Services"
26–35,Male,Guinea,Employed,76K–1L,6–10,1–2 days,Business,Standard,Agent,"Restaurant, Pool, Airport Pickup, Spa",4,3,3,2,Wellness Package,Evening,Yes,Platinum,Sometimes,3,Probably No,₹8001–₹12000,Yes,"Limited Wellness Services, Poor Staff Behavior"
26–35,Female,Japan,Employed,51K–75K,6–10,3–5,Other,Deluxe,OTA,Spa,2,3,3,4,"Wellness Package, Airport Pickup + Late Checkout",Afternoon,No,None,Rarely,5,Definitely Yes,₹8001–₹12000,No,"Poor Staff Behavior, Limited Wellness Services"
26–35,Female,Mozambique,Employed,25K–50K,3–5,3–5,Business,Budget,Walk-in,Pool,3,4,4,2,"Gym + Breakfast, Wellness Package",Afternoon,No,None,Sometimes,3,Definitely Yes,₹8001–₹12000,No,"Limited Wellness Services, High Prices, Poor Staff Behavior"
36–50,Female,Cyprus,Employed,76K–1L,3–5,3–5,Leisure,Budget,Walk-in,"Restaurant, Gym, Pool, Airport Pickup",3,4,4,4,Spa + Dinner,Afternoon,Yes,Silver,Frequently,5,Definitely Yes,₹2000–₹5000,No,"High Prices, Limited Wellness Services, Lack of Cleanliness"
18–25,Male,Monaco,Retired,76K–1L,1–2 times,6–10,Business,Deluxe,Hotel Website,"Restaurant, Airport Pickup",3,2,3,2,Gym + Breakfast,Morning,Yes,Platinum,Rarely,3,Definitely Yes,<₹2000,No,"Limited Wellness Services, Limited Food Options"
>65,Male,Niue,Unemployed,25K–50K,3–5,3–5,Business,Standard,OTA,"Gym, Pool, Spa, Restaurant",4,4,3,2,Gym + Breakfast,Evening,Yes,Basic,Rarely,3,Definitely Yes,₹2000–₹5000,Yes,
>65,Female,Lao People's Democratic Republic,Employed,76K–1L,3–5,3–5,Leisure,Deluxe,OTA,"Restaurant, Room Service",3,3,5,4,"Spa + Dinner, Airport Pickup + Late Checkout",Evening,Yes,Platinum,Rarely,2,Definitely Yes,₹2000–₹5000,Yes,
36–50,Female,Central African Republic,Retired,25K–50K,3–5,3–5,Business,Standard,OTA,Spa,3,3,4,3,Airport Pickup + Late Checkout,Evening,No,None,Sometimes,4,Definitely Yes,>₹12000,Yes,"Limited Wellness Services, Delayed Check-in, Lack of Cleanliness"
36–50,Male,Zimbabwe,Self-Employed,76K–1L,3–5,1–2 days,Business,Deluxe,OTA,"Restaurant, Spa, Airport Pickup",5,2,3,3,Spa + Dinner,Afternoon,Yes,Silver,Frequently,4,Definitely Yes,>₹12000,Yes,"Delayed Check-in, Limited Food Options"
26–35,Male,Svalbard & Jan Mayen Islands,Employed,>1L,3–5,1–2 days,Leisure,Budget,OTA,"Restaurant, Room Service, Gym, Pool",3,3,4,5,Spa + Dinner,Morning,No,None,Sometimes,3,Definitely Yes,₹2000–₹5000,Yes,
51–65,Male,Christmas Island,Unemployed,<25K,1–2 times,3–5,Business,Budget,Walk-in,"Room Service, Airport Pickup, Pool",5,4,4,4,Wellness Package,Morning,Yes,Silver,Rarely,3,Definitely Yes,₹8001–₹12000,No,"Limited Food Options, High Prices, Lack of Cleanliness"
36–50,Male,Wallis and Futuna,Employed,76K–1L,3–5,3–5,Business,Standard,OTA,"Gym, Spa",3,4,3,4,"Wellness Package, Gym + Breakfast",Morning,No,None,Sometimes,4,Definitely Yes,₹5001–₹8000,No,Poor Staff Behavior
26–35,Male,Isle of Man,Employed,51K–75K,3–5,1–2 days,Medical,Suite,Hotel Website,"Gym, Airport Pickup, Room Service, Pool",4,3,4,3,"Gym + Breakfast, Wellness Package",Morning,Yes,Gold,Rarely,3,Definitely No,<₹2000,Yes,"High Prices, Limited Wellness Services, Delayed Check-in"
51–65,Female,Algeria,Retired,>1L,6–10,3–5,Leisure,Standard,OTA,"Restaurant, Pool, Gym",3,3,3,5,"Airport Pickup + Late Checkout, Gym + Breakfast",Morning,No,None,Rarely,4,Probably Yes,₹2000–₹5000,Yes,Lack of Cleanliness
51–65,Female,Niger,Employed,51K–75K,1–2 times,3–5,Other,Standard,Hotel Website,"Spa, Pool, Airport Pickup",4,4,4,3,Gym + Breakfast,Evening,Yes,Gold,Sometimes,4,Probably No,₹5001–₹8000,Yes,"High Prices, Poor Staff Behavior, Limited Food Options"
51–65,Female,Kazakhstan,Retired,76K–1L,3–5,1–2 days,Medical,Deluxe,Agent,"Airport Pickup, Restaurant, Pool, Spa",4,4,4,5,Airport Pickup + Late Checkout,Late Night,Yes,Basic,Rarely,3,Probably Yes,₹5001–₹8000,Yes,"High Prices, Delayed Check-in"
36–50,Female,Panama,Retired,<25K,>10,3–5,Leisure,Suite,OTA,"Restaurant, Spa, Pool",4,3,4,3,"Wellness Package, Spa + Dinner",Late Night,Yes,Gold,Frequently,2,Probably No,₹2000–₹5000,No,"Lack of Cleanliness, Delayed Check-in"
36–50,Female,Ghana,Student,25K–50K,1–2 times,1–2 days,Business,Deluxe,OTA,"Room Service, Restaurant, Spa, Gym",3,4,3,2,"Airport Pickup + Late Checkout, Spa + Dinner",Late Night,Yes,Basic,Sometimes,3,Definitely Yes,>₹12000,Yes,"Limited Food Options, Delayed Check-in"
26–35,Female,Malaysia,Retired,<25K,3–5,>10,Leisure,Suite,Hotel Website,"Room Service, Gym, Spa",3,4,3,4,"Airport Pickup + Late Checkout, Spa + Dinner",Afternoon,Yes,Gold,Frequently,3,Probably Yes,₹5001–₹8000,No,"High Prices, Limited Food Options"
51–65,Female,Cameroon,Employed,>1L,1–2 times,6–10,Medical,Budget,Hotel Website,Room Service,5,4,4,4,"Gym + Breakfast, Airport Pickup + Late Checkout",Evening,Yes,Basic,Frequently,3,Not Sure,₹2000–₹5000,No,High Prices
51–65,Male,French Polynesia,Employed,76K–1L,3–5,6–10,Leisure,Budget,Hotel Website,"Airport Pickup, Restaurant, Pool, Room Service",3,4,3,3,Gym + Breakfast,Morning,No,None,Frequently,4,Probably Yes,₹2000–₹5000,Yes,"Lack of Cleanliness, High Prices, Poor Staff Behavior"
18–25,Male,French Guiana,Self-Employed,76K–1L,3–5,1–2 days,Leisure,Deluxe,OTA,Gym,4,4,4,3,Wellness Package,Morning,Yes,Silver,Rarely,4,Not Sure,₹8001–₹12000,No,"Poor Staff Behavior, High Prices"
18–25,Male,Sudan,Unemployed,>1L,3–5,6–10,Business,Deluxe,OTA,Room Service,2,4,3,3,"Airport Pickup + Late Checkout, Gym + Breakfast",Evening,No,None,Frequently,4,Definitely Yes,₹5001–₹8000,Yes,
26–35,Female,Antarctica (the territory South of 60 deg S),Student,<25K,3–5,6–10,Medical,Standard,Walk-in,"Pool, Room Service, Spa",3,4,4,4,"Airport Pickup + Late Checkout, Gym + Breakfast",Evening,Yes,Platinum,Sometimes,3,Probably Yes,₹8001–₹12000,Yes,
51–65,Female,India,Employed,25K–50K,6–10,6–10,Leisure,Standard,Agent,"Spa, Gym",3,4,3,2,"Airport Pickup + Late Checkout, Gym + Breakfast",Evening,Yes,Silver,Sometimes,4,Probably Yes,₹2000–₹5000,Yes,
>65,Male,Spain,Self-Employed,<25K,1–2 times,1–2 days,Other,Deluxe,OTA,Spa,4,3,3,4,"Spa + Dinner, Airport Pickup + Late Checkout",Evening,No,None,Rarely,3,Definitely Yes,₹2000–₹5000,Yes,"Limited Wellness Services, Delayed Check-in, High Prices"
18–25,Female,Tuvalu,Self-Employed,25K–50K,1–2 times,3–5,Business,Budget,Agent,Restaurant,1,3,4,3,Airport Pickup + Late Checkout,Afternoon,No,None,Rarely,4,Probably Yes,₹2000–₹5000,Yes,
36–50,Male,United States Virgin Islands,Self-Employed,25K–50K,6–10,6–10,Business,Standard,OTA,Airport Pickup,4,3,4,2,Spa + Dinner,Afternoon,Yes,Silver,Frequently,3,Definitely Yes,₹2000–₹5000,Yes,
26–35,Female,Bosnia and Herzegovina,Employed,51K–75K,3–5,3–5,Business,Standard,OTA,"Room Service, Pool",3,4,3,4,Wellness Package,Afternoon,No,None,Rarely,3,Probably Yes,₹5001–₹8000,Yes,Limited Wellness Services
>65,Male,United States of America,Employed,25K–50K,6–10,3–5,Leisure,Standard,OTA,"Gym, Pool",4,2,5,3,Airport Pickup + Late Checkout,Late Night,Yes,Basic,Rarely,3,Probably Yes,₹2000–₹5000,Yes,"Delayed Check-in, Lack of Cleanliness, Poor Staff Behavior"
51–65,Male,Liberia,Employed,25K–50K,3–5,3–5,Business,Deluxe,OTA,Spa,3,4,4,4,"Wellness Package, Spa + Dinner",Late Night,No,None,Rarely,5,Probably Yes,₹2000–₹5000,No,"Lack of Cleanliness, Limited Food Options, Limited Wellness Services"
51–65,Female,Chile,Retired,25K–50K,6–10,3–5,Business,Standard,Hotel Website,"Spa, Gym",3,4,3,4,"Airport Pickup + Late Checkout, Wellness Package",Evening,Yes,Platinum,Frequently,3,Probably No,₹2000–₹5000,Yes,
26–35,Male,Guyana,Employed,25K–50K,3–5,1–2 days,Other,Deluxe,OTA,"Gym, Room Service",3,4,4,3,Spa + Dinner,Morning,Yes,Silver,Sometimes,3,Not Sure,₹5001–₹8000,No,"Poor Staff Behavior, Lack of Cleanliness, High Prices"
26–35,Male,Palestinian Territory,Employed,>1L,6–10,3–5,Business,Standard,OTA,"Room Service, Restaurant",3,4,3,3,"Spa + Dinner, Gym + Breakfast",Afternoon,Yes,Silver,Frequently,2,Not Sure,₹8001–₹12000,Yes,Limited Food Options
26–35,Male,Madagascar,Unemployed,76K–1L,>10,1–2 days,Medical,Standard,Hotel Website,"Room Service, Restaurant, Gym, Pool",3,2,4,4,"Spa + Dinner, Wellness Package",Afternoon,Yes,Basic,Rarely,4,Definitely Yes,₹8001–₹12000,No,Limited Wellness Services
18–25,Female,Lithuania,Student,>1L,3–5,3–5,Leisure,Deluxe,Hotel Website,Spa,3,3,3,3,"Wellness Package, Spa + Dinner",Evening,Yes,Platinum,Rarely,5,Definitely Yes,₹8001–₹12000,Yes,"Limited Food Options, Limited Wellness Services"
51–65,Female,Uruguay,Unemployed,51K–75K,1–2 times,1–2 days,Medical,Standard,Hotel Website,"Room Service, Gym",2,3,4,3,Wellness Package,Morning,Yes,Platinum,Sometimes,3,Not Sure,₹5001–₹8000,Yes,Lack of Cleanliness
51–65,Male,Monaco,Self-Employed,25K–50K,3–5,3–5,Leisure,Budget,Agent,"Pool, Restaurant, Gym, Room Service",4,3,3,4,"Spa + Dinner, Gym + Breakfast",Afternoon,No,None,Sometimes,3,Not Sure,₹2000–₹5000,Yes,"Delayed Check-in, Limited Food Options"
>65,Female,Ukraine,Retired,76K–1L,1–2 times,1–2 days,Other,Budget,OTA,"Airport Pickup, Pool, Room Service",2,3,4,3,"Wellness Package, Gym + Breakfast",Afternoon,Yes,Silver,Rarely,3,Definitely Yes,₹8001–₹12000,Yes,
>65,Female,Timor-Leste,Employed,25K–50K,1–2 times,3–5,Other,Standard,Hotel Website,"Spa, Gym, Room Service",3,3,3,4,Gym + Breakfast,Late Night,Yes,Platinum,Rarely,4,Probably No,<₹2000,Yes,"Limited Wellness Services, Lack of Cleanliness"
36–50,Male,Eritrea,Student,25K–50K,3–5,6–10,Business,Standard,Hotel Website,"Pool, Room Service",4,5,3,4,Spa + Dinner,Evening,Yes,Platinum,Rarely,5,Probably Yes,₹8001–₹12000,No,"Delayed Check-in, Limited Wellness Services"
36–50,Male,Svalbard & Jan Mayen Islands,Self-Employed,25K–50K,3–5,1–2 days,Business,Deluxe,Hotel Website,Pool,3,2,4,3,Airport Pickup + Late Checkout,Evening,No,None,Rarely,3,Probably Yes,₹8001–₹12000,No,
51–65,Male,Philippines,Retired,25K–50K,3–5,1–2 days,Business,Deluxe,OTA,"Airport Pickup, Restaurant",3,5,5,4,Gym + Breakfast,Afternoon,No,None,Sometimes,4,Definitely Yes,₹5001–₹8000,Yes,"High Prices, Lack of Cleanliness"
51–65,Male,Christmas Island,Self-Employed,25K–50K,3–5,1–2 days,Leisure,Deluxe,OTA,"Gym, Pool, Restaurant",4,4,3,3,"Wellness Package, Gym + Breakfast",Morning,Yes,Silver,Rarely,3,Not Sure,<₹2000,Yes,Limited Food Options
26–35,Female,Iran,Employed,25K–50K,3–5,6–10,Medical,Standard,Agent,Restaurant,4,4,4,4,Airport Pickup + Late Checkout,Afternoon,Yes,Platinum,Rarely,5,Definitely Yes,>₹12000,Yes,
26–35,Male,Mozambique,Self-Employed,51K–75K,1–2 times,3–5,Leisure,Standard,OTA,Spa,3,3,4,4,"Spa + Dinner, Airport Pickup + Late Checkout",Evening,Yes,Platinum,Rarely,5,Probably Yes,₹8001–₹12000,No,"Limited Wellness Services, Poor Staff Behavior, High Prices"
18–25,Female,Cocos (Keeling) Islands,Self-Employed,<25K,1–2 times,3–5,Leisure,Standard,Agent,"Spa, Airport Pickup, Restaurant",3,4,4,4,Airport Pickup + Late Checkout,Evening,No,None,Rarely,5,Not Sure,₹8001–₹12000,Yes,"Lack of Cleanliness, Limited Food Options"
51–65,Female,Sudan,Self-Employed,25K–50K,1–2 times,1–2 days,Business,Budget,Hotel Website,"Gym, Pool, Restaurant, Room Service",2,2,3,3,"Airport Pickup + Late Checkout, Spa + Dinner",Afternoon,No,None,Frequently,3,Probably Yes,<₹2000,Yes,Poor Staff Behavior
36–50,Male,Cape Verde,Self-Employed,76K–1L,3–5,3–5,Medical,Budget,Hotel Website,"Airport Pickup, Spa, Restaurant, Room Service",3,4,3,3,"Spa + Dinner, Gym + Breakfast",Afternoon,Yes,Silver,Rarely,3,Probably Yes,₹2000–₹5000,Yes,"High Prices, Delayed Check-in, Limited Wellness Services"
26–35,Female,Netherlands,Retired,25K–50K,1–2 times,6–10,Other,Standard,Agent,"Airport Pickup, Room Service",4,3,2,4,Spa + Dinner,Evening,No,None,Rarely,5,Not Sure,<₹2000,Yes,
36–50,Male,Nigeria,Self-Employed,25K–50K,3–5,6–10,Business,Suite,Hotel Website,Gym,3,3,3,4,"Spa + Dinner, Gym + Breakfast",Evening,Yes,Basic,Sometimes,3,Definitely Yes,₹2000–₹5000,Yes,
36–50,Non-binary,Guadeloupe,Student,76K–1L,3–5,3–5,Leisure,Budget,OTA,"Airport Pickup, Gym",3,3,4,3,"Airport Pickup + Late Checkout, Gym + Breakfast",Morning,Yes,Platinum,Sometimes,3,Not Sure,₹5001–₹8000,Yes,
26–35,Female,Mali,Employed,25K–50K,6–10,1–2 days,Business,Budget,Hotel Website,Spa,2,2,3,5,Airport Pickup + Late Checkout,Afternoon,No,None,Sometimes,2,Definitely Yes,₹8001–₹12000,Yes,Limited Wellness Services
18–25,Female,Qatar,Student,<25K,1–2 times,1–2 days,Leisure,Deluxe,Agent,"Room Service, Restaurant, Gym",4,3,4,2,Wellness Package,Evening,No,None,Rarely,4,Probably Yes,₹2000–₹5000,Yes,"Poor Staff Behavior, Lack of Cleanliness, Delayed Check-in"
36–50,Female,Tanzania,Employed,51K–75K,3–5,1–2 days,Leisure,Standard,OTA,Restaurant,4,4,3,4,"Spa + Dinner, Wellness Package",Evening,No,None,Sometimes,3,Not Sure,₹5001–₹8000,No,
36–50,Male,Tonga,Employed,25K–50K,6–10,1–2 days,Business,Deluxe,OTA,Restaurant,3,3,4,2,Airport Pickup + Late Checkout,Late Night,Yes,Basic,Sometimes,4,Not Sure,₹2000–₹5000,No,Poor Staff Behavior
36–50,Female,British Indian Ocean Territory (Chagos Archipelago),Student,51K–75K,6–10,1–2 days,Leisure,Deluxe,OTA,"Gym, Airport Pickup, Room Service",3,3,4,5,Spa + Dinner,Evening,Yes,Gold,Rarely,4,Probably Yes,₹2000–₹5000,Yes,High Prices
36–50,Female,Antarctica (the territory South of 60 deg S),Employed,76K–1L,>10,1–2 days,Leisure,Suite,Agent,"Restaurant, Gym, Room Service, Spa",4,4,3,2,Wellness Package,Morning,No,None,Rarely,3,Definitely Yes,>₹12000,Yes,"Lack of Cleanliness, Limited Food Options, High Prices"
51–65,Female,Macao,Employed,25K–50K,1–2 times,3–5,Leisure,Standard,OTA,"Gym, Airport Pickup, Room Service",4,5,4,4,Gym + Breakfast,Evening,No,None,Sometimes,3,Definitely Yes,₹8001–₹12000,Yes,
36–50,Female,Guyana,Retired,51K–75K,1–2 times,>10,Leisure,Deluxe,Hotel Website,Room Service,2,5,3,3,Airport Pickup + Late Checkout,Afternoon,Yes,Gold,Sometimes,4,Definitely Yes,₹5001–₹8000,Yes,
36–50,Female,Malawi,Unemployed,51K–75K,6–10,3–5,Business,Standard,OTA,"Pool, Airport Pickup, Spa",3,3,4,3,"Gym + Breakfast, Wellness Package",Evening,Yes,Platinum,Frequently,4,Probably Yes,₹2000–₹5000,Yes,"High Prices, Poor Staff Behavior"
51–65,Male,Maldives,Student,25K–50K,3–5,6–10,Leisure,Deluxe,OTA,Room Service,4,2,4,4,Gym + Breakfast,Evening,No,None,Sometimes,3,Definitely No,₹2000–₹5000,Yes,
26–35,Male,French Polynesia,Unemployed,51K–75K,3–5,6–10,Leisure,Standard,Hotel Website,"Airport Pickup, Gym, Spa, Room Service",3,5,4,4,"Gym + Breakfast, Airport Pickup + Late Checkout",Evening,No,None,Sometimes,4,Definitely Yes,₹2000–₹5000,Yes,"Delayed Check-in, Lack of Cleanliness, Limited Wellness Services"
18–25,Female,Belize,Employed,25K–50K,6–10,1–2 days,Leisure,Budget,OTA,"Pool, Restaurant, Spa, Room Service",2,5,5,3,"Wellness Package, Airport Pickup + Late Checkout",Evening,No,None,Rarely,3,Definitely Yes,₹2000–₹5000,Yes,Delayed Check-in
18–25,Male,Slovakia (Slovak Republic),Employed,51K–75K,6–10,6–10,Business,Standard,Hotel Website,Room Service,4,4,4,3,"Wellness Package, Gym + Breakfast",Evening,No,None,Frequently,3,Probably Yes,₹2000–₹5000,Yes,"Poor Staff Behavior, Lack of Cleanliness, Delayed Check-in"
36–50,Female,Paraguay,Student,<25K,>10,1–2 days,Leisure,Standard,Hotel Website,"Restaurant, Room Service, Spa, Pool",5,2,3,4,Gym + Breakfast,Evening,Yes,Basic,Sometimes,4,Definitely No,₹8001–₹12000,Yes,
36–50,Female,Marshall Islands,Employed,51K–75K,>10,3–5,Other,Deluxe,Agent,"Airport Pickup, Spa, Room Service",4,4,3,2,Wellness Package,Afternoon,No,None,Sometimes,5,Definitely Yes,<₹2000,No,Delayed Check-in
36–50,Male,Paraguay,Self-Employed,25K–50K,6–10,3–5,Business,Deluxe,OTA,"Restaurant, Gym, Airport Pickup, Room Service",3,3,3,3,Airport Pickup + Late Checkout,Afternoon,No,None,Rarely,3,Definitely Yes,₹2000–₹5000,No,"High Prices, Limited Food Options, Delayed Check-in"
26–35,Male,Andorra,Self-Employed,76K–1L,3–5,>10,Leisure,Deluxe,Agent,"Airport Pickup, Room Service",3,3,4,5,"Spa + Dinner, Wellness Package",Evening,Yes,Gold,Rarely,3,Probably Yes,₹5001–₹8000,No,
18–25,Female,French Southern Territories,Student,<25K,6–10,1–2 days,Business,Budget,Hotel Website,"Pool, Restaurant, Spa, Airport Pickup",5,4,5,3,"Spa + Dinner, Gym + Breakfast",Late Night,No,None,Sometimes,2,Probably Yes,>₹12000,No,
18–25,Male,Bulgaria,Student,51K–75K,1–2 times,1–2 days,Leisure,Deluxe,Agent,"Room Service, Restaurant",4,4,4,4,"Spa + Dinner, Gym + Breakfast",Afternoon,No,None,Rarely,3,Definitely Yes,>₹12000,Yes,
26–35,Female,Peru,Employed,51K–75K,1–2 times,>10,Business,Standard,OTA,"Pool, Spa, Room Service",4,3,2,3,"Wellness Package, Airport Pickup + Late Checkout",Morning,Yes,Platinum,Rarely,3,Not Sure,₹8001–₹12000,No,"Limited Wellness Services, High Prices"
36–50,Male,Gibraltar,Employed,76K–1L,6–10,1–2 days,Leisure,Deluxe,Hotel Website,"Pool, Spa, Airport Pickup, Restaurant",4,3,3,4,"Wellness Package, Spa + Dinner",Afternoon,No,None,Rarely,3,Probably Yes,₹2000–₹5000,Yes,"High Prices, Lack of Cleanliness"
26–35,Female,Gambia,Employed,51K–75K,3–5,3–5,Leisure,Suite,Agent,"Pool, Airport Pickup, Restaurant, Spa",3,4,2,4,Gym + Breakfast,Evening,No,None,Rarely,3,Definitely No,₹2000–₹5000,Yes,"Lack of Cleanliness, Limited Wellness Services"
26–35,Male,Angola,Employed,51K–75K,1–2 times,6–10,Leisure,Budget,Agent,"Room Service, Airport Pickup, Gym, Pool",3,4,3,4,Airport Pickup + Late Checkout,Evening,Yes,Basic,Sometimes,4,Not Sure,₹8001–₹12000,Yes,High Prices
51–65,Female,Saint Kitts and Nevis,Retired,76K–1L,1–2 times,6–10,Leisure,Deluxe,OTA,"Gym, Spa, Pool",3,4,2,3,"Airport Pickup + Late Checkout, Spa + Dinner",Evening,No,None,Sometimes,4,Definitely Yes,₹8001–₹12000,Yes,"Lack of Cleanliness, High Prices, Limited Food Options"
26–35,Male,Guinea,Unemployed,76K–1L,6–10,>10,Leisure,Budget,OTA,"Spa, Restaurant, Gym",4,4,3,5,Airport Pickup + Late Checkout,Late Night,Yes,Silver,Rarely,3,Probably Yes,₹5001–₹8000,No,High Prices
36–50,Female,Ecuador,Employed,25K–50K,3–5,>10,Leisure,Standard,OTA,"Airport Pickup, Spa",5,3,2,3,"Wellness Package, Airport Pickup + Late Checkout",Evening,No,None,Sometimes,4,Definitely Yes,₹2000–₹5000,No,Poor Staff Behavior
36–50,Male,Niue,Unemployed,51K–75K,6–10,1–2 days,Business,Standard,OTA,Airport Pickup,4,4,4,4,"Airport Pickup + Late Checkout, Spa + Dinner",Afternoon,Yes,Platinum,Frequently,3,Probably Yes,₹2000–₹5000,Yes,
26–35,Female,New Caledonia,Employed,76K–1L,1–2 times,6–10,Business,Budget,OTA,"Room Service, Restaurant, Airport Pickup",2,1,4,4,"Spa + Dinner, Airport Pickup + Late Checkout",Evening,No,None,Frequently,5,Definitely Yes,₹8001–₹12000,Yes,
36–50,Female,San Marino,Employed,>1L,6–10,3–5,Medical,Deluxe,OTA,"Gym, Spa, Room Service, Restaurant",4,3,4,3,Gym + Breakfast,Evening,Yes,Gold,Sometimes,3,Probably Yes,₹2000–₹5000,No,High Prices
51–65,Male,Central African Republic,Employed,76K–1L,6–10,3–5,Business,Budget,Agent,"Restaurant, Spa",4,4,3,3,Spa + Dinner,Late Night,Yes,Silver,Sometimes,4,Definitely No,₹5001–₹8000,Yes,"High Prices, Limited Wellness Services, Delayed Check-in"
51–65,Male,Albania,Self-Employed,25K–50K,3–5,1–2 days,Leisure,Budget,OTA,"Spa, Room Service, Gym, Restaurant",4,3,2,4,Airport Pickup + Late Checkout,Morning,Yes,Gold,Rarely,2,Definitely Yes,>₹12000,Yes,"Limited Wellness Services, Poor Staff Behavior"
18–25,Male,Burkina Faso,Unemployed,25K–50K,3–5,3–5,Other,Standard,Hotel Website,"Pool, Room Service, Restaurant, Airport Pickup",3,3,4,3,"Wellness Package, Airport Pickup + Late Checkout",Morning,Yes,Basic,Sometimes,3,Probably No,₹8001–₹12000,Yes,Lack of Cleanliness
51–65,Female,Sao Tome and Principe,Self-Employed,51K–75K,1–2 times,>10,Business,Deluxe,OTA,"Gym, Spa, Restaurant",5,3,5,5,Spa + Dinner,Morning,Yes,Platinum,Sometimes,4,Probably Yes,₹2000–₹5000,No,High Prices
26–35,Female,Eritrea,Employed,76K–1L,>10,>10,Leisure,Suite,OTA,Spa,2,4,4,3,Spa + Dinner,Evening,Yes,Gold,Sometimes,3,Probably Yes,₹2000–₹5000,Yes,"Lack of Cleanliness, Limited Wellness Services, Delayed Check-in"
